index	label	cifti_label	community_yeo	community_mesulam	community_economo
1	Left_V1	L_V1_ROI	visual	paralimbic	sensory 2
2	Left_MST	L_MST_ROI	visual	unimodal	sensory 1
3	Left_V6	L_V6_ROI	visual	unimodal	sensory 1
4	Left_V2	L_V2_ROI	visual	paralimbic	sensory 1
5	Left_V3	L_V3_ROI	visual	paralimbic	sensory 1
6	Left_V4	L_V4_ROI	visual	unimodal	sensory 1
7	Left_V8	L_V8_ROI	visual	unimodal	association 1
8	Left_4	L_4_ROI	somatosensory	paralimbic	motor
9	Left_3b	L_3b_ROI	somatosensory	paralimbic	sensory 2
10	Left_FEF	L_FEF_ROI	dorsal attention	paralimbic	motor
11	Left_PEF	L_PEF_ROI	dorsal attention	paralimbic	motor
12	Left_55b	L_55b_ROI	ventral attention	paralimbic	motor
13	Left_V3A	L_V3A_ROI	visual	unimodal	association 1
14	Left_RSC	L_RSC_ROI	default mode	idiotypic	limbic
15	Left_POS2	L_POS2_ROI	frontoparietal	heteromodal	association 1
16	Left_V7	L_V7_ROI	visual	unimodal	association 1
17	Left_IPS1	L_IPS1_ROI	dorsal attention	heteromodal	association 1
18	Left_FFC	L_FFC_ROI	visual	unimodal	association 1
19	Left_V3B	L_V3B_ROI	visual	unimodal	association 1
20	Left_LO1	L_LO1_ROI	visual	unimodal	sensory 1
21	Left_LO2	L_LO2_ROI	visual	unimodal	sensory 1
22	Left_PIT	L_PIT_ROI	visual	unimodal	sensory 1
23	Left_MT	L_MT_ROI	visual	unimodal	sensory 1
24	Left_A1	L_A1_ROI	somatosensory	unimodal	sensory 2
25	Left_PSL	L_PSL_ROI	ventral attention	unimodal	association 2
26	Left_SFL	L_SFL_ROI	default mode	unimodal	association 1
27	Left_PCV	L_PCV_ROI	dorsal attention	heteromodal	association 1
28	Left_STV	L_STV_ROI	ventral attention	unimodal	association 2
29	Left_7Pm	L_7Pm_ROI	frontoparietal	heteromodal	association 1
30	Left_7m	L_7m_ROI	default mode	heteromodal	association 1
31	Left_POS1	L_POS1_ROI	default mode	heteromodal	association 1
32	Left_23d	L_23d_ROI	default mode	idiotypic	limbic
33	Left_v23ab	L_v23ab_ROI	default mode	idiotypic	association 1
