region,regionLongName,Lobe,cortex
V1,Primary Visual Cortex,Occ,Primary_Visual
MST,Medial Superior Temporal Area,Occ,MT+_Complex_and_Neighboring_Visual_Areas
V6,Sixth Visual Area,Occ,Dorsal_Stream_Visual
V2,Second Visual Area,Occ,Early_Visual
V3,Third Visual Area,Occ,Early_Visual
V4,Fourth Visual Area,Occ,Early_Visual
V8,Eighth Visual Area,Occ,Ventral_Stream_Visual
4,Primary Motor Cortex,Fr,Somatosensory_and_Motor
3b,Primary Sensory Cortex,Par,Somatosensory_and_Motor
FEF,Frontal Eye Fields,Fr,Premotor
PEF,Premotor Eye Field,Fr,Premotor
55b,Area 55b,Fr,Premotor
V3A,Area V3A,Occ,Dorsal_Stream_Visual
RSC,RetroSplenial Complex,Par,Posterior_Cingulate
POS2,Parieto-Occipital Sulcus Area 2,Occ,Posterior_Cingulate
V7,Seventh Visual Area,Occ,Dorsal_Stream_Visual
IPS1,IntraParietal Sulcus Area 1,Par,Dorsal_Stream_Visual
x,Fusiform Face Complex,Temp,Ventral_Stream_Visual
V3B,Area V3B,Occ,Dorsal_Stream_Visual
LO1,Area Lateral Occipital 1,Occ,MT+_Complex_and_Neighboring_Visual_Areas
LO2,Area Lateral Occipital 2,Occ,MT+_Complex_and_Neighboring_Visual_Areas
PIT,Posterior InferoTemporal complex,Occ,Ventral_Stream_Visual
MT,Middle Temporal Area,Occ,MT+_Complex_and_Neighboring_Visual_Areas
A1,Primary Auditory Cortex,Temp,Early_Auditory
PSL,PeriSylvian Language Area,Par,Temporo-Parieto_Occipital_Junction
SFL,Superior Frontal Language Area,Fr,Dorsolateral_Prefrontal
PCV,PreCuneus Visual Area,Par,Posterior_Cingulate
STV,Superior Temporal Visual Area,Par,Temporo-Parieto-Occipital_Junction
7Pm,Medial Area 7P,Par,Superior_Parietal
7m,Area 7m,Par,Posterior_Cingulate
POS1,Parieto-Occipital Sulcus Area 1,Par,Posterior_Cingulate
23d,Area 23d,Par,Posterior_Cingulate
v23ab,Area ventral 23 a+b,Par,Posterior_Cingulate
d23ab,Area dorsal 23 a+b,Par,Posterior_Cingulate
31pv,Area 31p ventral,Par,Posterior_Cingulate
5m,Area 5m,Par,Paracentral_Lobular_and_Mid_Cingulate
