label,x,y,z,rank_ap,rank_dv,rank_ml,rank_sa
Left_V1,-9.453338489301366,-84.8347512245424,2.5529775715390564,351,241,56,2.0
Left_MST,-41.178885630498534,-67.13636363636364,7.843108504398827,309,216,242,39.0
Left_V6,-14.562146892655367,-78.79661016949153,31.35946327683616,335,121,87,17.5
Left_V2,-9.378169014084508,-81.47253521126761,5.582834507042254,342,226,54,3.0
Left_V3,-15.68245655796239,-85.88859795286837,7.816472268507498,355,217,90,4.0
Left_V4,-27.84086692528251,-87.07868105920053,-0.15559116208466858,357,249,146,14.0
Left_V8,-30.363095238095237,-76.09268707482993,-12.698979591836734,330,302,161,12.0
Left_4,-27.858705994291153,-19.470884871550904,55.77802093244529,180,34,147,13.0
Left_3b,-37.95259792166267,-22.649800159872104,54.44660271782574,195,37,207,7.0
Left_FEF,-40.53897550111358,-5.239977728285078,51.94766146993319,146,50,232,85.0
Left_PEF,-48.68915801614764,0.17358708189158017,40.12975778546713,126,89,294,117.0
Left_55b,-48.61120957022597,-0.4428444838280904,50.5509525919362,129,54,293,114.5
Left_V3A,-16.476504534212697,-90.0717230008244,28.095218466611705,360,134,93,9.0
Left_RSC,-5.426404995539697,-37.47725245316681,20.37734165923283,230,160,23,63.0
Left_POS2,-9.260311871227364,-72.71227364185111,39.53495975855131,323,93,53,89.0
Left_V7,-24.506172839506174,-84.53950617283951,30.7679012345679,349,127,128,26.0
Left_IPS1,-23.92874396135266,-73.86111111111111,38.4987922705314,325,99,126,24.0
Left_FFC,-42.02573099415205,-60.947953216374266,-18.06608187134503,292,335,246,46.0
Left_V3B,-26.71475625823452,-81.22859025032938,18.618577075098813,340,172,137,15.0
Left_LO1,-37.56060606060606,-84.85642135642135,5.91991341991342,352,224,205,28.0
Left_LO2,-42.93076923076923,-86.14615384615385,-3.5760180995475115,356,270,251,31.0
Left_PIT,-39.10540970564837,-84.56682577565633,-13.827764518695306,350,308,221,22.0
Left_MT,-44.54602510460251,-72.57252440725244,9.142956764295677,321,209,262,52.0
Left_A1,-43.40645463049579,-23.877923292797007,12.385874649204863,201,193,257,50.0
Left_PSL,-58.30923507462686,-45.02751865671642,24.827891791044777,251,150,336,96.0
Left_SFL,-8.393045443133317,16.88990710519709,64.32500627667588,82,16,48,154.5
Left_PCV,-5.888464800678541,-51.17811704834605,50.88931297709924,263,52,26,70.0
Left_STV,-61.94233726294208,-49.42721681189134,17.201178882624294,260,175,350,82.5
Left_7Pm,-5.031984334203655,-68.11357702349869,53.077023498694516,311,44,15,74.0
Left_7m,-3.9687148744848257,-63.27444735856126,37.6566129636568,299,103,5,136.0
Left_POS1,-12.602229054573405,-58.28209069946195,15.798232129131437,285,180,75,94.0
Left_23d,-2.9030075187969926,-21.162406015037593,39.250375939849626,188,95,2,139.0
Left_v23ab,-3.4343396226415095,-58.39433962264151,19.316603773584905,287,168,3,149.0
Left_d23ab,-3.480782429649966,-42.47529169526424,31.347632120796156,245,122,4,153.0
Left_31pv,-10.321689259645463,-46.19760166840459,32.544838373305524,255,116,61,134.0
Left_5m,-6.304830287206267,-40.6233681462141,63.17167101827676,240,20,29,5.0
Left_5mv,-13.831626120358514,-36.20422535211268,50.26440460947503,225,55,80,19.0
Left_23c,-11.611275964391691,-30.712166172106826,43.231454005934715,213,79,70,68.0
Left_5L,-14.491981672394044,-46.12256586483391,72.67640320733105,254,2,85,30.0
Left_24dd,-6.816024211532335,-16.351226505256452,51.052723797387706,172,51,37,33.0
Left_24dv,-9.098705501618124,-2.1666666666666665,45.71440129449838,138,64,51,62.0
Left_7AL,-20.949507389162562,-51.33702791461412,68.08866995073892,264,8,108,54.0
Left_SCEF,-6.327898550724638,3.8819875776397517,58.83048654244306,114,26,30,118.0
Left_6ma,-18.63142857142857,3.7253416149068324,68.8376397515528,115,5,97,116.0
Left_7Am,-8.1539780521262,-58.480109739369,63.28600823045267,288,18,45,57.0
Left_7PL,-13.930395913154534,-72.28991060025542,57.952107279693486,320,29,82,32.0
Left_7PC,-36.61133400200602,-48.16599799398195,63.481277164827816,258,17,196,36.0
Left_LIPv,-30.232737208147043,-58.32314952806756,56.32861400894188,286,32,159,72.5
Left_VIP,-23.231380337636544,-64.0953326713009,64.32869910625621,302,15,122,53.0
Left_MIP,-22.40450643776824,-65.8283261802575,47.753755364806864,305,58,117,59.0
Left_1,-45.442460949952185,-25.99792795664648,58.16114121772394,203,27,270,16.0
Left_2,-37.206984071416066,-33.8357255382461,54.06432697356905,220,40,200,25.0
Left_3a,-34.693535672053606,-20.507883326763896,43.705360662199446,185,75,184,10.0
Left_6d,-34.55216501875213,-13.330889873849301,67.20848960109103,164,9,183,11.0
Left_6mp,-12.401531728665208,-14.336858740578654,71.35679552637977,165,3,73,23.0
Left_6v,-59.2302752293578,4.103669724770643,33.0308868501529,113,113,341,78.0
Left_p24pr,-4.051826994780015,-3.737136465324385,40.439597315436245,142,86,6,106.0
Left_33pr,-2.5805860805860807,10.076312576312576,29.13736263736264,103,129,1,84.0
Left_a24pr,-5.383471074380165,17.223140495867767,32.006611570247934,80,118,22,120.0
Left_p32pr,-8.203436807095343,13.951219512195122,40.12749445676275,92,90,46,119.0
Left_a24,-6.189673622257892,42.14205457463884,-2.9355270197966825,31,264,27,177.0
Left_d32,-8.305297397769516,40.54879182156134,26.106877323420075,32,144,47,166.0
Left_8BM,-5.602283105022831,31.122222222222224,45.538660578386605,51,66,25,167.0
Left_p32,-11.313929313929314,50.44282744282744,-0.49272349272349275,20,254,68,160.0
Left_10r,-7.425061425061425,52.58722358722359,-7.772113022113022,15,283,41,137.0
Left_47m,-36.48133333333333,32.849333333333334,-13.984,48,310,195,129.0
Left_8Av,-38.55353408615642,17.187578419071517,52.43391886240067,81,47,213,179.0
Left_8Ad,-23.976275968196973,26.30815593741985,44.10271864580662,65,73,127,176.0
Left_9m,-6.531573586827363,53.45909013749788,25.981582074350705,14,145,34,175.0
Left_8BL,-12.124528301886793,35.770440251572325,54.65880503144654,43,36,72,178.0
Left_9p,-19.79275715155204,45.49573950091296,40.11046865489958,28,91,104,170.0
Left_10d,-11.37430225346289,65.67345462063263,10.716456481290056,2,199,69,156.0
Left_8C,-42.71987837324211,13.580577727099962,38.290573926263775,93,100,248,172.0
Left_44,-53.704150783566284,15.928208386277001,13.231893265565438,84,189,321,138.0
Left_45,-50.38812845485654,26.252566464859175,3.115425111871545,66,238,303,154.5
Left_47l,-46.379772542648254,30.37408610885459,-9.748578391551584,52,287,278,163.5
Left_a47r,-41.07718458826492,48.36628053387056,-10.813019390581717,24,289,240,171.0
Left_6r,-52.74597855227882,7.377345844504021,18.452077747989275,108,173,315,109.0
Left_IFJa,-41.76354679802956,12.57820197044335,26.29371921182266,96,142,244,145.0
Left_IFJp,-40.94758064516129,3.3056451612903226,30.191935483870967,117,128,237,124.0
Left_IFSp,-49.77058823529412,22.41830065359477,22.64967320261438,71,155,298,132.0
Left_IFSa,-47.59341669731519,33.74567855829349,11.728392791467451,46,196,285,123.0
Left_p9-46v,-46.200625558534405,28.983169496574323,28.364462317545428,56,132,274,161.0
Left_46,-38.328626897282035,38.02029650547123,31.647370278856336,37,120,210,174.0
Left_a9-46v,-39.52326885337819,51.68671152228764,9.607653490328007,18,206,226,173.0
Left_9-46d,-29.92212716313436,46.43855726229827,23.369336962862143,27,152,155,159.0
Left_9a,-20.714250124564025,56.15944195316393,26.885650224215247,10,139,107,152.0
Left_10v,-4.9125,53.854787234042554,-16.70132978723404,13,328,13,126.0
Left_a10p,-27.768576979116077,58.91864983001457,-4.2343370568237,9,272,143,157.0
Left_10pp,-14.645395044413277,62.21669004207573,-13.935250116877045,4,309,89,142.0
Left_11l,-26.619602272727274,48.17215909090909,-14.217045454545454,25,313,136,146.0
Left_13l,-23.427486187845304,29.929558011049725,-18.91367403314917,53,341,123,151.0
Left_OFC,-10.706450036647935,32.51075006107989,-23.616296115318836,49,346,62,99.0
Left_47s,-33.7723044397463,22.307610993657505,-18.75412262156448,73,337,179,147.0
Left_LIPd,-29.136453201970443,-54.90098522167488,44.10985221674877,275,72,152,101.0
Left_6a,-25.26042328042328,-3.3893121693121695,55.98846560846561,141,33,131,88.0
Left_i6-8,-31.73711943793911,5.945550351288056,59.38875878220141,111,24,171,158.0
Left_s6-8,-22.723834988540872,22.308250572956457,58.111917494270436,72,28,118,163.5
Left_43,-57.4112426035503,-0.011505588428665352,9.719592373438527,127,205,335,66.0
Left_OP4,-60.14689655172414,-12.982758620689655,15.995632183908047,162,178,343,41.0
Left_OP1,-48.21098901098901,-21.614835164835164,19.80934065934066,191,164,290,44.5
Left_OP2-3,-40.56446140797286,-15.983460559796438,19.459287531806616,170,167,233,21.0
Left_52,-38.846727898966705,-19.84902411021814,-0.33237657864523534,181,251,219,67.0
Left_RI,-39.81486880466473,-34.020116618075804,20.349562682215744,221,161,227,51.0
Left_PFcm,-51.81772377000593,-31.96058091286307,21.84617664493183,215,158,313,86.0
Left_PoI2,-39.44962613144431,-1.3953168044077136,-0.40082644628099173,133,253,225,105.0
Left_TA2,-50.573272273105744,1.0287260616153207,-5.425895087427144,124,276,306,79.0
Left_FOP4,-40.8459793814433,12.850103092783506,6.354020618556701,94,220,236,104.0
Left_MI,-35.74004085801839,11.92288049029622,2.475485188968335,99,242,190,131.0
Left_Pir,-30.398630136986302,6.568493150684931,-17.41780821917808,110,331,162,56.0
Left_AVI,-30.170462156731414,25.458472873409242,-2.1557267247153384,67,263,158,125.0
Left_AAIC,-32.70313790255987,14.79810074318745,-11.016102394715112,87,293,176,102.0
Left_FOP1,-50.07251908396947,2.1297709923664123,4.782442748091603,122,231,301,65.0
Left_FOP3,-35.693939393939395,2.803030303030303,13.255151515151516,120,188,189,95.0
Left_FOP2,-42.74281984334203,-3.936031331592689,14.891644908616188,145,184,249,44.5
Left_PFt,-54.1565579984837,-26.88476118271418,39.02122820318423,207,96,325,61.0
Left_AIP,-38.33790156203949,-40.5972590627763,44.418066607721784,239,70,211,82.5
Left_EC,-22.123916811091853,-11.334488734835356,-30.021230502599654,157,354,115,72.5
Left_PreS,-16.41915422885572,-32.24689054726368,-12.485696517412935,216,300,92,20.0
Left_H,-26.99556580347641,-23.407059240865554,-16.04380986165307,198,325,139,69.0
Left_ProS,-21.85634167385677,-55.93572044866264,5.1850733390854185,279,229,112,27.0
Left_PeEc,-32.05877616747182,-9.316425120772946,-33.357890499194845,152,356,173,97.0
Left_STGa,-51.767080745341616,12.607023411371237,-14.645723841376014,95,315,312,114.5
Left_PBelt,-53.57064017660044,-25.467991169977925,9.376379690949227,202,208,320,40.0
Left_A5,-63.60617958347559,-14.51194947080915,-0.8270740867190167,167,257,356,100.0
Left_PHA1,-23.208185053380785,-36.35053380782918,-14.7141162514828,227,316,121,49.0
Left_PHA3,-31.229599227426363,-38.47778850796717,-16.370111057460164,234,327,167,48.0
Left_STSda,-55.29901477832512,-5.779310344827586,-9.54088669950739,147,286,329,141.0
Left_STSdp,-53.419408679065334,-31.181449690033382,1.3769670958512161,214,244,319,108.0
Left_STSvp,-55.271867190289186,-33.656015708675476,-3.4689396644055694,219,269,328,150.0
