label,name,hemi,type,profilable,end1,end2,end1_loc,end2_loc,both_ends_surface_mappable,includes subcortex,connections_subcortex,notes
C_FP_L,Cingulum_Frontal_Parietal_L,left,association,True,A,P,cortex,cortex,True,,,
C_FP_R,Cingulum_Frontal_Parietal_L,right,association,True,A,P,cortex,cortex,True,,,
C_FPH_L,Cingulum_Frontal_Parahippocampal_L,left,association,True,A,P,cortex,cortex,True,True,Hippocampus,
C_FPH_R,Cingulum_Frontal_Parahippocampal_R,right,association,True,A,P,cortex,cortex,True,True,Hippocampus,
C_PH_L,Cingulum_Parahippocampal_L,left,association,True,I,S,cortex,cortex,True,True,Hippocampus | Pulvinar,
C_PH_R,Cingulum_Parahippocampal_R,right,association,True,I,S,cortex,cortex,True,True,Hippocampus | Pulvinar | Amygdala,
C_PO_L,Cingulum_Parolfactory_L,left,association,True,A,P,cortex,cortex,True,True,Ca,Original atlas streamlines did not cleanly profile because atlas streamlines have 2 separate segments. eventually consider flipping C_PO_R over midline or restricting to sgACC portion
C_PO_R,Cingulum_Parolfactory_R,right,association,True,A,P,cortex,cortex,True,True,Ca | NAC,
CPT_F_L,Corticopontine_Tract_Frontal_L,left,projection,True,I,S,subcortex,cortex,True,True,Ca | GPe | GPi | HTH | Pu | SNc_PBP_VTA | SNr | STH | Ventral_Latero_Ventral,
CPT_F_R,Corticopontine_Tract_Frontal_R,right,projection,True,I,S,subcortex,cortex,True,True,Hippocampus | Ca | GPe | GPi | Pu | SNc_PBP_VTA | SNr | Ventral_Latero_Ventral,
CPT_O_L,Corticopontine_Tract_Occipital_L,left,projection,True,I,S,subcortex,cortex,True,True,Pu | Pulvinar |SNc_PBP_VTA | SNr | STH | Ventral_Latero_Ventral,
CPT_O_R,Corticopontine_Tract_Occipital_R,right,projection,True,I,S,subcortex,cortex,True,True,Hippocampus | Pu | SNr,
CPT_P_L,Corticopontine_Tract_Parietal_L,left,projection,True,I,S,subcortex,cortex,True,True,Hippocampus | GPe | Gpi | Pu | Pulvinar | SNc_PBP_VTA | SNr | STH | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
CPT_P_R,Corticopontine_Tract_Parietal_R,right,projection,True,I,S,subcortex,cortex,True,True,Hippocampus | GPe | GPi | Pu | SNr | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
CS_A_L,Corticostriatal_Tract_Anterior_L,left,projection,True,A,P,cortex,subcortex,True,True,Ca | GPe | NAC | Pu,
CS_A_R,Corticostriatal_Tract_Anterior_R,right,projection,True,A,P,cortex,subcortex,True,True,Ca | GPe | NAC | Pu,
CS_P_L,Corticostriatal_Tract_Posterior_L,left,projection,True,I,S,subcortex,cortex,False,True,Pu,
CS_P_R,Corticostriatal_Tract_Posterior_R,right,projection,True,I,S,subcortex,cortex,False,True,Pu,
CS_S_L,Corticostriatal_Tract_Superior_L,left,projection,True,I,S,subcortex,cortex,False,True,Ca | GPe | GPi | Pu,
CS_S_R,Corticostriatal_Tract_Superior_R,right,projection,True,I,S,subcortex,cortex,False,True,Ca | GPe | GPi | Pu,
CST_L,Cortico_Spinal_Tract_L,left,projection,True,I,S,subcortex,cortex,True,True,Hippocampus | GPe | GPi | Pu | SNc_PBP_VTA | SNr | STH | Anterior | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
CST_R,Cortico_Spinal_Tract_R,right,projection,True,I,S,subcortex,cortex,True,True,Hippocampus | GPe | GPi | Pu | SNr | STH | Ventral_Latero_Ventral,
F_L,Fornix_L,left,projection,True,M,L,subcortex,subcortex,True,True,Hippocampus | Amygdala | EXA | HTH | Pulvinar | Anterior | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Medio_Dorsal | Ventral_Anterior | Ventral_Latero_Dorsal,
F_R,Fornix_R,right,projection,True,M,L,subcortex,subcortex,True,True,Hippocampus | Amygdala | EXA | Ca | GPe | GPi | HTH | Pulvinar | Anterior | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Medio_Dorsal | Ventral_Anterior | Ventral_Latero_Dorsal,
IFOF_L,Inferior_Fronto_Occipital_Fasciculus_L,left,association,True,A,P,cortex,cortex,True,True,Ca | Pu,
IFOF_R,Inferior_Fronto_Occipital_Fasciculus_R,right,association,True,A,P,cortex,cortex,True,True,Ca | Pu,
ILF_L,Inferior_Longitudinal_Fasciculus_L,left,association,True,A,P,cortex,cortex,True,True,Hippocampus,
ILF_R,Inferior_Longitudinal_Fasciculus_R,right,association,True,A,P,cortex,cortex,True,True,Amygdala | Pu,
MdLF_L,Middle_Longitudinal_Fasciculus_L,left,association,True,I,S,cortex,cortex,True,False,,
MdLF_R,Middle_Longitudinal_Fasciculus_R,right,association,True,I,S,cortex,cortex,True,False,,
ML_L,Medial_Lemniscus_L,left,projection,True,I,S,subcortex,subcortex,True,True,Ca | RN | SNc_PBP_VTA | SNr | STH | Pulvinar | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Medio_Dorsal | Ventral_Anterior | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
ML_R,Medial_Lemniscus_R,right,projection,True,I,S,subcortex,subcortex,True,True,RN | SNc_PBP_VTA | SNr | STH | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
OR_L,Optic_Radiation_L,left,projection,True,A,P,subcortex,cortex,True,True,Ca | Pu | Pulvinar | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Ventral_Latero_Ventral,
OR_R,Optic_Radiation_R,right,projection,True,A,P,subcortex,cortex,True,True,Ca | Pulvinar | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Ventral_Latero_Dorsal,
PAT_L,Parietal_Aslant_Tract_L ,left,association,True,I,S,cortex,cortex,True,False,,
PAT_R,Parietal_Aslant_Tract_R,right,association,True,I,S,cortex,cortex,True,False,,
SLF1_L,Superior_Longitudinal_Fasciculus1_L,left,association,True,A,P,cortex,cortex,True,False,,
SLF1_R,Superior_Longitudinal_Fasciculus1_R,right,association,True,A,P,cortex,cortex,True,False,,
TR_A_L,Thalamic_Radiation_Anterior_L,left,projection,True,A,P,cortex,subcortex,True,True,Ca | EXA | GPe | Pu | Anterior | Medio_Dorsal | Ventral_Anterior,
TR_A_R,Thalamic_Radiation_Anterior_R,right,projection,True,A,P,cortex,subcortex,True,True,Ca | EXA | GPe | HN | Pu | Anterior | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Medio_Dorsal | Ventral_Anterior | Ventral_Latero_Dorsal,
TR_P_L,Thalamic_Radiation_Posterior_L,left,projection,True,A,P,subcortex,cortex,False,True,Ca | Pulvinar | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
TR_P_R,Thalamic_Radiation_Posterior_R,right,projection,True,A,P,subcortex,cortex,False,True,Ca | Pulvinar | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
TR_S_L,Thalamic_Radiation_Superior_L,left,projection,True,I,S,subcortex,cortex,False,True,Ca | EXA | GPe | GPi | Pu | Pulvinar | Anterior | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Medio_Dorsal | Ventral_Anterior | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
TR_S_R,Thalamic_Radiation_Superior_L,right,projection,True,I,S,subcortex,cortex,False,True,Ca | GPe | Pu | Pulvinar | Anterior | Central_Lateral-Lateral_Posterior-Medial_Pulvinar | Medio_Dorsal | Ventral_Anterior | Ventral_Latero_Dorsal | Ventral_Latero_Ventral,
UF_L,Uncinate_Fasciculus_L,left,association,True,A,P,cortex,cortex,True,True,Amygdala | Ca | Pu,
UF_R,Uncinate_Fasciculus_R,right,association,True,A,P,cortex,cortex,True,True,Amygdala | Ca | Pu,
VOF_L,Vertical_Occipital_Fasciculus_L,left,association,True,I,S,cortex,cortex,True,False,,
VOF_R,Vertical_Occipital_Fasciculus_R,right,association,True,I,S,cortex,cortex,True,False,,
